id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000264862.2	2.636119787	-3.268625314	1.520144023	-2.150207655	0.031538793	0.109922106
ENSG00000164283.11	2.584947469	-3.267328313	1.454888946	-2.245757878	0.024719521	0.092801989
ENSG00000226814.2	2.52134345	-3.263258888	1.377966371	-2.368170193	0.01787631	0.073030104
ENSG00000256243.2	3.742354533	-3.261894892	1.240633983	-2.62921614	0.008558195	0.042498769
ENSG00000228137.1	2.57384499	-3.26013439	1.352493067	-2.410462922	0.015932291	0.067318553
ENSG00000162383.10	5.481196723	-3.259978133	1.09771158	-2.969794791	0.002979987	0.019064445
ENSG00000154736.5	16.56107469	-3.258242011	0.908957493	-3.584592278	0.000337605	0.00336286
ENSG00000259202.1	3.937857663	-3.257439135	1.223551198	-2.662282658	0.007761267	0.039560603
ENSG00000226321.5	2.604075647	-3.254049006	1.392976704	-2.33603979	0.019489168	0.078098327
ENSG00000264796.1	5.810286836	-3.248538165	1.081444459	-3.003888122	0.002665533	0.017464856
ENSG00000149403.10	5.560096058	-3.247358873	1.375470812	-2.360907148	0.018230294	0.074169485
ENSG00000231039.2	3.627510635	-3.247268596	1.28832806	-2.520529279	0.011717849	0.053680202
ENSG00000212807.1	4.992943367	-3.244873877	1.14109303	-2.843654103	0.004459944	0.025826058
ENSG00000233993.1	62.08614661	-3.24381934	0.466764105	-6.949590389	3.66E-12	2.56E-10
ENSG00000224430.2	4.920550548	-3.228885691	1.327027776	-2.433171144	0.014967225	0.064362052
ENSG00000143850.11	5.696421015	-3.220833407	1.210883508	-2.659903604	0.007816302	0.039749624
ENSG00000246877.1	3.205750887	-3.220771859	1.467389065	-2.194899727	0.028170791	0.101883288
ENSG00000233930.3	14.47192901	-3.217156068	0.918559136	-3.502394066	0.000461097	0.00430129
ENSG00000280537.1	6.560068895	-3.208361973	0.959830257	-3.342634752	0.000829871	0.006927373
ENSG00000244730.1	15.05754775	-3.208346808	0.672683076	-4.769477518	1.85E-06	4.24E-05
ENSG00000236226.1	5.869248493	-3.204254524	1.455307619	-2.201771283	0.027681469	0.100604718
ENSG00000143434.14	8.516460394	-3.202206538	0.962823616	-3.325849601	0.000881495	0.007275852
